serie,idade,genero,cor_raca,estado_civil,renda_per_capita,trabalha,acesso_internet,possui_computador,tipo_escola_origem,distorcao_idade_serie,assistencia_pe_de_meia,nota_media,frequencia,media_atividades,taxa_entrega_atividades,reprovacoes,situacao
1,15,Feminino,Parda,Solteiro,Acima de 1 SM,Nao,Sim,Sim,Publica,Nao,Nao,9.3,99.2,6.8,52.9,0,Aprovado
2,16,Feminino,Preta,Solteiro,"0,5-1 SM",Nao,Sim,Nao,Publica,Nao,Nao,4.9,78.1,3.8,65.0,1,Em Risco
2,16,Feminino,Parda,Solteiro,"Ate 0,5 SM",Nao,Sim,Nao,Publica,Nao,Nao,7.8,90.0,8.3,75.4,0,Aprovado
1,15,Feminino,Parda,Solteiro,"Ate 0,5 SM",Nao,Sim,Nao,Publica,Nao,Sim,7.3,95.6,5.1,69.6,0,Aprovado
1,15,Feminino,Parda,Solteiro,"Ate 0,5 SM",Nao,Sim,Nao,Publica,Nao,Sim,4.5,83.4,3.6,50.8,1,Reprovado
2,16,Feminino,Parda,Solteiro,Acima de 1 SM,Nao,Sim,Sim,Publica,Nao,Nao,7.7,90.4,7.2,64.7,0,Aprovado
1,16,Masculino,Branca,Solteiro,"Ate 0,5 SM",Nao,Nao,Nao,Publica,Nao,Sim,6.3,84.6,6.2,68.4,2,Em Risco
2,16,Feminino,Preta,Solteiro,Acima de 1 SM,Nao,Sim,Sim,Publica,Nao,Nao,7.1,87.0,5.3,70.2,0,Aprovado
1,16,Feminino,Parda,Solteiro,"Ate 0,5 SM",Nao,Sim,Sim,Publica,Nao,Sim,7.2,87.8,5.6,71.1,0,Aprovado
2,16,Masculino,Parda,Solteiro,Acima de 1 SM,Sim,Sim,Nao,Publica,Nao,Nao,5.7,65.4,5.0,49.5,1,Reprovado
2,16,Masculino,Parda,Solteiro,"Ate 0,5 SM",Nao,Sim,Nao,Publica,Nao,Sim,6.5,92.8,7.0,90.1,1,Aprovado
1,15,Masculino,Parda,Solteiro,Acima de 1 SM,Sim,Sim,Nao,Privada,Nao,Nao,6.7,86.6,6.5,50.7,1,Aprovado
1,15,Feminino,Parda,Solteiro,Acima de 1 SM,Nao,Sim,Nao,Privada,Nao,Nao,7.8,81.4,7.7,72.9,0,Aprovado
1,15,Feminino,Parda,Solteiro,"Ate 0,5 SM",Nao,Sim,Nao,Publica,Nao,Sim,4.5,84.7,3.9,69.7,2,Reprovado
1,16,Masculino,Parda,Solteiro,"0,5-1 SM",Sim,Sim,Nao,Publica,Nao,Nao,7.7,85.0,9.2,93.8,1,Aprovado
3,18,Feminino,Parda,Solteiro,"0,5-1 SM",Sim,Sim,Nao,Publica,Nao,Nao,4.5,72.9,5.2,52.5,1,Reprovado
1,15,Masculino,Parda,Solteiro,Acima de 1 SM,Sim,Sim,Sim,Publica,Nao,Nao,7.5,94.8,7.1,70.8,0,Aprovado
3,17,Feminino,Parda,Solteiro,"Ate 0,5 SM",Nao,Sim,Nao,Publica,Nao,Sim,6.6,86.9,9.3,82.0,1,Aprovado
1,15,Masculino,Parda,Casado/Uniao,"Ate 0,5 SM",Nao,Sim,Nao,Publica,Nao,Sim,4.8,85.6,5.6,71.8,2,Em Risco
2,17,Masculino,Parda,Solteiro,Acima de 1 SM,Nao,Sim,Sim,Publica,Nao,Nao,7.7,86.6,6.8,62.4,0,Aprovado
3,19,Masculino,Parda,Solteiro,"0,5-1 SM",Nao,Sim,Nao,Publica,Sim,Nao,4.7,85.4,6.7,77.0,2,Em Risco
2,16,Masculino,Branca,Solteiro,"Ate 0,5 SM",Nao,Sim,Sim,Publica,Nao,Nao,8.2,86.3,8.5,80.4,0,Aprovado
2,16,Feminino,Parda,Casado/Uniao,"0,5-1 SM",Nao,Sim,Nao,Publica,Nao,Nao,5.5,87.1,4.9,70.2,2,Em Risco
2,16,Feminino,Branca,Solteiro,"Ate 0,5 SM",Nao,Sim,Nao,Publica,Nao,Nao,4.5,78.2,6.7,83.7,0,Em Risco
1,16,Masculino,Parda,Solteiro,"0,5-1 SM",Nao,Sim,Nao,Publica,Nao,Nao,8.4,85.4,6.7,55.9,0,Aprovado
3,17,Masculino,Branca,Solteiro,"Ate 0,5 SM",Nao,Sim,Nao,Publica,Nao,Sim,6.7,88.0,6.3,68.1,0,Aprovado
3,19,Masculino,Parda,Solteiro,"Ate 0,5 SM",Nao,Sim,Nao,Publica,Sim,Sim,7.0,85.1,6.8,82.9,1,Aprovado
3,17,Feminino,Preta,Solteiro,"Ate 0,5 SM",Nao,Sim,Nao,Publica,Nao,Sim,5.3,82.8,6.3,73.3,0,Em Risco
1,15,Feminino,Parda,Solteiro,"Ate 0,5 SM",Sim,Sim,Nao,Publica,Nao,Sim,3.5,80.8,4.8,54.7,2,Reprovado
3,17,Masculino,Preta,Solteiro,"Ate 0,5 SM",Nao,Sim,Nao,Publica,Nao,Sim,8.6,87.7,9.1,80.2,1,Aprovado
3,17,Feminino,Parda,Solteiro,"Ate 0,5 SM",Sim,Sim,Nao,Publica,Nao,Sim,6.0,81.9,5.7,65.3,1,Em Risco
1,18,Masculino,Parda,Solteiro,"Ate 0,5 SM",Nao,Sim,Nao,Publica,Sim,Sim,6.5,86.9,5.5,55.5,1,Em Risco
1,16,Feminino,Preta,Outro,"Ate 0,5 SM",Nao,Sim,Nao,Publica,Nao,Sim,7.3,84.7,7.9,92.1,0,Aprovado
3,17,Feminino,Parda,Solteiro,"0,5-1 SM",Nao,Sim,Nao,Publica,Nao,Nao,6.0,89.6,6.2,77.2,0,Em Risco
2,16,Feminino,Branca,Solteiro,"Ate 0,5 SM",Sim,Sim,Nao,Privada,Nao,Sim,6.4,83.9,5.1,55.7,1,Em Risco
3,24,Feminino,Parda,Solteiro,"Ate 0,5 SM",Nao,Sim,Nao,Publica,Sim,Sim,8.0,96.9,6.1,69.2,1,Aprovado
1,15,Feminino,Parda,Solteiro,"0,5-1 SM",Sim,Sim,Nao,Publica,Nao,Nao,6.0,83.5,5.3,60.5,1,Em Risco
3,19,Feminino,Preta,Solteiro,Acima de 1 SM,Sim,Sim,Sim,Privada,Sim,Nao,7.4,83.5,5.1,38.3,1,Em Risco
1,15,Feminino,Parda,Solteiro,"0,5-1 SM",Nao,Sim,Sim,Privada,Nao,Nao,4.4,60.1,4.5,48.0,1,Reprovado
1,15,Masculino,Parda,Solteiro,"Ate 0,5 SM",Sim,Sim,Nao,Publica,Nao,Sim,7.5,97.5,8.3,65.0,0,Aprovado
1,15,Masculino,Preta,Solteiro,"0,5-1 SM",Sim,Sim,Sim,Publica,Nao,Nao,4.4,66.6,5.7,50.3,1,Reprovado
3,18,Masculino,Branca,Solteiro,Acima de 1 SM,Sim,Sim,Sim,Publica,Nao,Nao,7.9,87.1,6.4,56.7,0,Aprovado
2,16,Feminino,Branca,Solteiro,"Ate 0,5 SM",Nao,Sim,Nao,Publica,Nao,Sim,7.0,86.4,7.1,97.1,0,Aprovado
2,16,Masculino,Parda,Solteiro,Acima de 1 SM,Nao,Sim,Sim,Publica,Nao,Nao,6.9,84.7,6.7,47.4,1,Aprovado
1,19,Masculino,Parda,Solteiro,"Ate 0,5 SM",Sim,Sim,Nao,Publica,Sim,Sim,5.3,85.8,4.2,61.0,1,Em Risco
3,17,Masculino,Parda,Solteiro,"Ate 0,5 SM",Nao,Sim,Nao,Publica,Nao,Sim,6.1,83.9,6.3,67.9,2,Aprovado
2,16,Masculino,Parda,Solteiro,"Ate 0,5 SM",Nao,Sim,Nao,Publica,Nao,Sim,5.4,82.8,6.7,87.7,0,Aprovado
3,19,Feminino,Preta,Solteiro,"0,5-1 SM",Sim,Sim,Sim,Publica,Sim,Nao,5.5,85.2,3.9,50.7,1,Reprovado
2,16,Feminino,Parda,Solteiro,"Ate 0,5 SM",Sim,Sim,Nao,Privada,Nao,Sim,9.0,100.0,8.3,70.6,0,Aprovado
1,15,Feminino,Parda,Solteiro,"Ate 0,5 SM",Nao,Sim,Nao,Publica,Nao,Nao,8.1,86.3,6.1,49.6,2,Aprovado
2,19,Feminino,Parda,Solteiro,"Ate 0,5 SM",Sim,Nao,Nao,Publica,Sim,Nao,4.1,79.5,2.6,48.3,2,Reprovado
1,17,Feminino,Preta,Solteiro,"Ate 0,5 SM",Nao,Sim,Nao,Publica,Sim,Nao,6.2,76.6,5.3,56.4,1,Em Risco
3,17,Masculino,Branca,Solteiro,"Ate 0,5 SM",Sim,Nao,Nao,Publica,Nao,Sim,5.9,83.5,6.9,58.8,0,Em Risco
2,16,Masculino,Preta,Outro,"Ate 0,5 SM",Nao,Sim,Nao,Publica,Nao,Sim,6.3,82.0,6.7,72.9,1,Em Risco
1,15,Feminino,Parda,Solteiro,"Ate 0,5 SM",Nao,Sim,Nao,Publica,Nao,Nao,5.1,77.3,5.6,63.1,2,Em Risco
3,17,Masculino,Branca,Solteiro,Acima de 1 SM,Nao,Sim,Nao,Publica,Nao,Nao,7.2,85.9,7.5,59.2,1,Aprovado
2,16,Masculino,Parda,Solteiro,"Ate 0,5 SM",Nao,Sim,Sim,Publica,Nao,Sim,7.9,81.8,7.9,62.1,1,Aprovado
2,18,Feminino,Parda,Solteiro,"Ate 0,5 SM",Sim,Sim,Sim,Publica,Sim,Nao,4.7,79.9,4.2,34.1,1,Reprovado
3,17,Masculino,Parda,Solteiro,"Ate 0,5 SM",Nao,Nao,Nao,Publica,Nao,Nao,8.7,75.2,8.3,84.7,0,Em Risco
2,17,Masculino,Parda,Solteiro,"Ate 0,5 SM",Nao,Sim,Sim,Privada,Nao,Sim,8.9,94.6,8.3,68.2,0,Aprovado
1,16,Masculino,Parda,Solteiro,"Ate 0,5 SM",Nao,Sim,Sim,Publica,Nao,Sim,7.5,97.0,6.8,70.7,0,Aprovado
3,18,Masculino,Branca,Solteiro,"Ate 0,5 SM",Sim,Sim,Nao,Publica,Nao,Nao,4.4,78.7,4.1,65.5,1,Reprovado
2,16,Masculino,Parda,Solteiro,"0,5-1 SM",Nao,Sim,Nao,Publica,Nao,Nao,7.0,76.9,6.9,71.7,1,Em Risco
1,19,Masculino,Parda,Solteiro,"Ate 0,5 SM",Nao,Nao,Nao,Publica,Sim,Sim,6.0,83.5,4.4,56.8,1,Em Risco
1,17,Feminino,Branca,Solteiro,"Ate 0,5 SM",Nao,Sim,Nao,Publica,Sim,Sim,6.6,82.7,6.4,70.2,1,Em Risco
3,17,Feminino,Branca,Solteiro,"Ate 0,5 SM",Nao,Sim,Nao,Publica,Nao,Sim,8.5,87.9,6.4,57.4,0,Aprovado
2,16,Masculino,Preta,Solteiro,"0,5-1 SM",Nao,Sim,Nao,Publica,Nao,Nao,6.2,85.4,7.4,79.1,0,Aprovado
2,16,Feminino,Parda,Solteiro,"0,5-1 SM",Nao,Sim,Nao,Publica,Nao,Nao,9.1,92.5,7.1,53.4,0,Aprovado
3,17,Masculino,Parda,Solteiro,"Ate 0,5 SM",Nao,Sim,Nao,Publica,Nao,Nao,7.0,75.8,6.0,70.6,2,Em Risco
3,17,Masculino,Parda,Solteiro,"Ate 0,5 SM",Nao,Sim,Sim,Privada,Nao,Sim,6.6,81.0,6.6,64.3,0,Aprovado
1,15,Masculino,Parda,Solteiro,Acima de 1 SM,Nao,Sim,Nao,Publica,Nao,Nao,9.8,100.0,7.1,62.4,0,Aprovado
1,17,Feminino,Parda,Solteiro,"Ate 0,5 SM",Nao,Sim,Sim,Publica,Sim,Sim,7.3,96.5,6.2,48.0,1,Aprovado
1,22,Masculino,Parda,Solteiro,"Ate 0,5 SM",Sim,Sim,Nao,Publica,Sim,Sim,4.9,81.6,4.2,42.3,1,Reprovado
3,17,Feminino,Parda,Solteiro,"Ate 0,5 SM",Nao,Sim,Sim,Publica,Nao,Sim,6.9,87.7,6.2,91.1,0,Aprovado
1,15,Feminino,Parda,Solteiro,"Ate 0,5 SM",Sim,Sim,Nao,Publica,Nao,Sim,6.8,83.9,4.3,40.1,0,Em Risco
2,16,Feminino,Parda,Solteiro,Acima de 1 SM,Nao,Sim,Nao,Privada,Nao,Nao,6.6,87.0,5.3,73.2,0,Aprovado
3,17,Feminino,Parda,Solteiro,Acima de 1 SM,Nao,Sim,Sim,Publica,Nao,Nao,7.2,80.9,6.8,52.6,1,Aprovado
3,17,Feminino,Parda,Solteiro,"0,5-1 SM",Nao,Sim,Sim,Publica,Nao,Nao,5.7,76.0,4.8,36.6,1,Reprovado
1,15,Masculino,Parda,Solteiro,"Ate 0,5 SM",Nao,Sim,Nao,Publica,Nao,Nao,9.2,95.8,9.2,93.0,0,Aprovado
3,17,Masculino,Parda,Solteiro,"Ate 0,5 SM",Nao,Sim,Nao,Privada,Nao,Nao,6.7,93.8,5.3,47.1,0,Em Risco
1,19,Feminino,Parda,Solteiro,"Ate 0,5 SM",Nao,Sim,Nao,Publica,Sim,Sim,6.1,88.0,6.5,82.4,1,Em Risco
3,18,Feminino,Parda,Solteiro,Acima de 1 SM,Sim,Sim,Nao,Publica,Nao,Nao,6.9,93.1,5.8,80.2,1,Aprovado
1,15,Masculino,Parda,Solteiro,"0,5-1 SM",Nao,Sim,Nao,Publica,Nao,Nao,5.7,77.3,5.8,63.9,0,Em Risco
2,19,Masculino,Branca,Solteiro,"Ate 0,5 SM",Sim,Sim,Nao,Publica,Sim,Nao,3.7,79.9,3.3,51.1,1,Reprovado
3,17,Masculino,Branca,Solteiro,"Ate 0,5 SM",Sim,Sim,Nao,Publica,Nao,Nao,4.7,62.2,4.5,44.3,0,Reprovado
1,16,Masculino,Parda,Solteiro,"Ate 0,5 SM",Sim,Sim,Nao,Publica,Nao,Sim,7.4,89.9,5.7,42.9,0,Aprovado
1,15,Masculino,Branca,Solteiro,Acima de 1 SM,Nao,Sim,Sim,Publica,Nao,Nao,6.1,83.9,5.8,52.5,0,Em Risco
3,17,Feminino,Parda,Solteiro,"Ate 0,5 SM",Nao,Sim,Nao,Publica,Nao,Sim,5.9,83.1,5.5,57.8,1,Em Risco
3,17,Feminino,Parda,Solteiro,"Ate 0,5 SM",Sim,Sim,Nao,Publica,Nao,Sim,5.6,82.0,5.0,64.3,2,Em Risco
2,20,Masculino,Outra,Solteiro,"Ate 0,5 SM",Nao,Sim,Nao,Publica,Sim,Sim,5.1,86.5,6.2,63.7,1,Em Risco
2,16,Feminino,Parda,Solteiro,"Ate 0,5 SM",Nao,Sim,Nao,Publica,Nao,Sim,5.5,84.7,4.7,64.4,1,Em Risco
2,16,Feminino,Preta,Solteiro,Acima de 1 SM,Sim,Sim,Nao,Publica,Nao,Nao,5.1,84.9,2.3,59.1,1,Reprovado
1,15,Masculino,Parda,Solteiro,Acima de 1 SM,Nao,Sim,Sim,Publica,Nao,Nao,8.8,88.1,5.6,57.3,1,Aprovado
1,15,Masculino,Parda,Solteiro,Acima de 1 SM,Nao,Sim,Sim,Publica,Nao,Nao,7.9,85.2,6.3,51.6,1,Aprovado
1,15,Feminino,Parda,Solteiro,"0,5-1 SM",Sim,Sim,Nao,Publica,Nao,Nao,7.6,96.4,7.1,80.1,1,Aprovado
3,17,Feminino,Parda,Solteiro,"Ate 0,5 SM",Nao,Sim,Nao,Publica,Nao,Sim,8.3,93.7,7.4,89.7,0,Aprovado
2,16,Masculino,Parda,Solteiro,"Ate 0,5 SM",Nao,Sim,Nao,Publica,Nao,Nao,3.4,79.6,4.3,67.2,2,Reprovado
2,16,Feminino,Parda,Casado/Uniao,"Ate 0,5 SM",Sim,Sim,Nao,Publica,Nao,Sim,6.4,83.4,7.5,82.0,0,Aprovado
2,16,Masculino,Parda,Outro,"0,5-1 SM",Nao,Sim,Sim,Publica,Nao,Nao,6.0,80.9,6.5,66.3,0,Em Risco
3,18,Masculino,Branca,Solteiro,"Ate 0,5 SM",Sim,Sim,Nao,Publica,Nao,Sim,7.5,96.3,8.0,86.8,1,Aprovado
1,15,Masculino,Branca,Solteiro,"0,5-1 SM",Sim,Sim,Sim,Publica,Nao,Nao,5.4,76.8,4.5,65.7,1,Reprovado
2,16,Masculino,Parda,Solteiro,"Ate 0,5 SM",Nao,Nao,Nao,Publica,Nao,Sim,4.8,83.6,4.9,78.9,0,Reprovado
2,16,Feminino,Parda,Solteiro,"Ate 0,5 SM",Sim,Sim,Nao,Publica,Nao,Sim,4.1,82.2,4.4,63.7,2,Reprovado
2,16,Feminino,Branca,Casado/Uniao,"0,5-1 SM",Nao,Sim,Sim,Publica,Nao,Nao,6.4,77.0,5.2,40.7,0,Em Risco
1,15,Masculino,Parda,Solteiro,Acima de 1 SM,Sim,Sim,Nao,Publica,Nao,Nao,7.4,81.8,7.1,74.2,0,Aprovado
3,17,Feminino,Parda,Solteiro,"Ate 0,5 SM",Nao,Sim,Nao,Publica,Nao,Sim,6.8,83.9,6.7,76.9,1,Aprovado
3,17,Feminino,Parda,Solteiro,"Ate 0,5 SM",Nao,Sim,Nao,Privada,Nao,Nao,5.0,67.5,4.0,33.4,1,Reprovado
2,16,Masculino,Branca,Solteiro,Acima de 1 SM,Nao,Sim,Nao,Privada,Nao,Nao,9.6,94.7,7.4,38.1,0,Aprovado
2,18,Feminino,Parda,Solteiro,"0,5-1 SM",Sim,Sim,Nao,Publica,Sim,Nao,6.3,92.1,6.5,82.8,1,Em Risco
3,17,Masculino,Parda,Casado/Uniao,"Ate 0,5 SM",Nao,Sim,Nao,Privada,Nao,Sim,7.6,90.3,5.6,60.3,1,Aprovado
2,20,Feminino,Parda,Solteiro,"Ate 0,5 SM",Sim,Sim,Nao,Publica,Sim,Sim,7.1,83.8,4.4,49.7,1,Em Risco
1,18,Masculino,Parda,Solteiro,"Ate 0,5 SM",Nao,Sim,Sim,Privada,Sim,Sim,4.3,86.9,6.0,70.4,1,Em Risco
2,16,Feminino,Parda,Solteiro,"Ate 0,5 SM",Nao,Sim,Nao,Publica,Nao,Sim,5.3,81.3,4.1,61.9,0,Em Risco
2,17,Masculino,Parda,Solteiro,Acima de 1 SM,Nao,Sim,Sim,Privada,Nao,Nao,8.2,85.2,8.2,61.9,0,Aprovado
2,16,Feminino,Parda,Solteiro,"Ate 0,5 SM",Nao,Sim,Nao,Publica,Nao,Nao,5.4,85.9,6.6,79.0,1,Em Risco
3,18,Feminino,Parda,Solteiro,"Ate 0,5 SM",Nao,Sim,Nao,Publica,Nao,Sim,6.1,87.5,7.2,92.3,1,Aprovado
3,17,Masculino,Parda,Outro,"Ate 0,5 SM",Nao,Sim,Nao,Publica,Nao,Sim,6.3,83.9,5.0,51.1,0,Em Risco
3,17,Masculino,Branca,Solteiro,"Ate 0,5 SM",Nao,Sim,Sim,Publica,Nao,Sim,5.1,84.1,5.9,55.5,1,Em Risco
2,16,Masculino,Branca,Solteiro,"Ate 0,5 SM",Nao,Sim,Nao,Publica,Nao,Sim,6.0,84.7,5.5,59.4,1,Em Risco
1,15,Feminino,Parda,Solteiro,"Ate 0,5 SM",Nao,Sim,Nao,Privada,Nao,Sim,7.8,83.9,7.2,71.9,0,Aprovado
3,17,Masculino,Parda,Solteiro,"Ate 0,5 SM",Nao,Sim,Nao,Publica,Nao,Sim,7.4,81.5,8.1,80.6,0,Aprovado
3,22,Feminino,Parda,Casado/Uniao,"Ate 0,5 SM",Nao,Sim,Nao,Publica,Sim,Sim,7.3,85.6,5.7,34.7,1,Aprovado
1,17,Masculino,Parda,Solteiro,"Ate 0,5 SM",Nao,Nao,Nao,Publica,Sim,Nao,7.0,92.5,5.8,80.2,1,Aprovado
3,17,Masculino,Preta,Solteiro,"Ate 0,5 SM",Nao,Sim,Nao,Publica,Nao,Sim,7.0,84.7,6.7,70.2,0,Aprovado
3,17,Masculino,Parda,Solteiro,"0,5-1 SM",Nao,Sim,Nao,Privada,Nao,Nao,7.0,88.7,7.8,80.4,0,Aprovado
2,20,Masculino,Preta,Solteiro,"Ate 0,5 SM",Sim,Sim,Nao,Privada,Sim,Sim,5.9,83.9,6.6,75.4,1,Aprovado
2,16,Feminino,Preta,Solteiro,"Ate 0,5 SM",Sim,Sim,Nao,Publica,Nao,Sim,5.2,80.0,5.2,60.6,0,Em Risco
2,16,Feminino,Branca,Solteiro,"Ate 0,5 SM",Nao,Sim,Nao,Publica,Nao,Sim,5.1,82.0,5.7,80.4,1,Em Risco
1,15,Masculino,Parda,Solteiro,Acima de 1 SM,Nao,Sim,Nao,Publica,Nao,Nao,5.8,81.9,5.7,76.3,2,Em Risco
1,15,Feminino,Parda,Solteiro,Acima de 1 SM,Nao,Sim,Sim,Publica,Nao,Nao,6.6,78.4,6.3,71.3,1,Aprovado
3,17,Masculino,Parda,Casado/Uniao,"Ate 0,5 SM",Nao,Sim,Nao,Publica,Nao,Nao,5.6,76.5,4.9,21.5,1,Reprovado
1,15,Feminino,Branca,Solteiro,"0,5-1 SM",Nao,Sim,Nao,Publica,Nao,Nao,7.0,88.1,7.7,74.6,1,Aprovado
1,15,Masculino,Branca,Solteiro,"Ate 0,5 SM",Nao,Sim,Nao,Publica,Nao,Sim,6.7,86.7,7.5,91.4,0,Aprovado
2,16,Feminino,Parda,Solteiro,"Ate 0,5 SM",Nao,Sim,Nao,Publica,Nao,Sim,6.9,93.7,7.1,73.7,0,Aprovado
2,19,Feminino,Parda,Solteiro,"Ate 0,5 SM",Sim,Sim,Nao,Publica,Sim,Sim,5.9,84.8,5.4,67.0,1,Em Risco
3,17,Masculino,Parda,Solteiro,"Ate 0,5 SM",Nao,Sim,Nao,Publica,Nao,Sim,8.0,86.2,7.7,85.6,0,Aprovado
1,18,Feminino,Parda,Solteiro,"Ate 0,5 SM",Nao,Sim,Nao,Publica,Sim,Nao,5.9,77.2,4.5,50.5,1,Em Risco
1,18,Masculino,Parda,Solteiro,"0,5-1 SM",Sim,Sim,Nao,Publica,Sim,Nao,6.8,84.6,6.4,70.2,1,Em Risco
3,17,Masculino,Parda,Solteiro,"0,5-1 SM",Nao,Sim,Nao,Privada,Nao,Nao,7.3,95.6,6.5,64.9,1,Aprovado
2,16,Masculino,Parda,Solteiro,"Ate 0,5 SM",Sim,Sim,Nao,Publica,Nao,Sim,7.5,86.8,7.2,48.7,0,Aprovado
1,15,Masculino,Preta,Solteiro,"Ate 0,5 SM",Nao,Sim,Nao,Publica,Nao,Sim,8.5,83.9,6.8,55.9,0,Aprovado
2,21,Masculino,Parda,Solteiro,"Ate 0,5 SM",Nao,Sim,Nao,Publica,Sim,Nao,9.1,96.8,8.7,98.3,1,Aprovado
1,15,Masculino,Parda,Solteiro,"Ate 0,5 SM",Nao,Sim,Nao,Privada,Nao,Sim,6.7,83.4,8.2,90.7,0,Aprovado
1,15,Masculino,Parda,Solteiro,Acima de 1 SM,Nao,Sim,Sim,Publica,Nao,Nao,7.1,77.9,7.3,51.2,0,Em Risco
2,16,Masculino,Branca,Solteiro,"0,5-1 SM",Nao,Sim,Nao,Publica,Nao,Nao,5.8,80.1,7.0,57.1,0,Em Risco
2,18,Feminino,Parda,Solteiro,Acima de 1 SM,Sim,Sim,Sim,Publica,Sim,Nao,5.3,84.0,5.9,59.2,1,Em Risco
3,18,Feminino,Branca,Solteiro,"0,5-1 SM",Sim,Sim,Nao,Publica,Nao,Nao,7.2,82.7,7.7,69.4,0,Aprovado
1,15,Masculino,Parda,Solteiro,"Ate 0,5 SM",Sim,Sim,Nao,Publica,Nao,Sim,4.7,83.0,5.4,77.8,1,Reprovado
2,21,Masculino,Branca,Casado/Uniao,"Ate 0,5 SM",Nao,Sim,Nao,Publica,Sim,Nao,8.0,94.8,6.1,47.5,1,Aprovado
2,16,Masculino,Branca,Solteiro,"Ate 0,5 SM",Nao,Sim,Nao,Privada,Nao,Sim,6.4,89.9,7.2,63.0,1,Aprovado
1,15,Feminino,Parda,Casado/Uniao,"Ate 0,5 SM",Nao,Sim,Nao,Publica,Nao,Sim,10.0,97.2,8.4,89.9,0,Aprovado
2,23,Feminino,Branca,Casado/Uniao,"0,5-1 SM",Sim,Sim,Sim,Publica,Sim,Nao,4.9,68.2,3.4,53.8,1,Reprovado
1,17,Masculino,Parda,Solteiro,"Ate 0,5 SM",Nao,Sim,Nao,Privada,Sim,Sim,6.4,82.6,5.8,51.5,1,Aprovado
3,21,Masculino,Parda,Solteiro,"Ate 0,5 SM",Nao,Sim,Sim,Publica,Sim,Nao,5.8,84.9,4.7,63.5,1,Em Risco
1,15,Masculino,Parda,Solteiro,"0,5-1 SM",Sim,Sim,Nao,Publica,Nao,Nao,5.0,80.2,3.3,43.9,1,Reprovado
2,18,Masculino,Parda,Solteiro,Acima de 1 SM,Sim,Sim,Sim,Publica,Sim,Nao,7.4,81.2,5.7,46.5,1,Em Risco
1,16,Feminino,Preta,Solteiro,"Ate 0,5 SM",Sim,Sim,Nao,Privada,Nao,Sim,4.7,90.5,4.7,63.8,0,Reprovado
3,17,Feminino,Branca,Solteiro,"0,5-1 SM",Sim,Sim,Sim,Publica,Nao,Nao,5.5,71.3,4.7,55.1,0,Reprovado
2,16,Masculino,Parda,Outro,"Ate 0,5 SM",Nao,Sim,Nao,Publica,Nao,Sim,7.2,95.1,6.2,66.8,0,Aprovado
2,19,Feminino,Parda,Solteiro,"Ate 0,5 SM",Nao,Sim,Nao,Publica,Sim,Sim,6.9,96.8,5.0,76.1,1,Aprovado
1,15,Masculino,Parda,Casado/Uniao,"Ate 0,5 SM",Nao,Sim,Nao,Privada,Nao,Sim,4.8,82.4,4.3,47.6,2,Reprovado
3,17,Masculino,Preta,Solteiro,"Ate 0,5 SM",Nao,Sim,Sim,Privada,Nao,Sim,7.7,86.0,4.4,51.2,1,Aprovado
1,15,Feminino,Parda,Solteiro,"0,5-1 SM",Nao,Sim,Nao,Publica,Nao,Nao,6.6,78.9,6.9,66.2,1,Aprovado
3,18,Feminino,Branca,Solteiro,"Ate 0,5 SM",Nao,Sim,Sim,Publica,Nao,Sim,5.6,82.8,5.4,55.4,0,Aprovado
1,20,Masculino,Parda,Solteiro,"0,5-1 SM",Sim,Sim,Nao,Publica,Sim,Nao,4.4,80.3,4.8,87.8,1,Em Risco
1,15,Masculino,Parda,Solteiro,Acima de 1 SM,Sim,Sim,Sim,Publica,Nao,Nao,3.9,63.0,3.8,49.8,0,Reprovado
1,15,Feminino,Branca,Solteiro,"Ate 0,5 SM",Nao,Sim,Nao,Publica,Nao,Nao,8.7,81.7,8.6,67.2,0,Aprovado
2,16,Feminino,Parda,Casado/Uniao,"0,5-1 SM",Nao,Sim,Sim,Publica,Nao,Nao,8.1,93.3,7.5,72.4,0,Aprovado
2,16,Masculino,Parda,Solteiro,"Ate 0,5 SM",Nao,Sim,Nao,Publica,Nao,Sim,4.8,83.2,5.1,61.9,0,Reprovado
1,15,Masculino,Parda,Solteiro,"Ate 0,5 SM",Nao,Sim,Nao,Publica,Nao,Sim,7.5,100.0,6.6,59.8,0,Aprovado
3,22,Masculino,Parda,Solteiro,"0,5-1 SM",Sim,Sim,Sim,Publica,Sim,Nao,5.1,67.3,2.5,38.8,2,Reprovado
2,16,Feminino,Branca,Solteiro,"0,5-1 SM",Nao,Sim,Sim,Publica,Nao,Nao,8.0,89.5,8.1,66.0,0,Aprovado
2,16,Feminino,Parda,Solteiro,"Ate 0,5 SM",Nao,Sim,Sim,Publica,Nao,Sim,6.2,91.1,5.9,69.1,0,Aprovado
2,20,Masculino,Parda,Solteiro,Acima de 1 SM,Nao,Sim,Sim,Publica,Sim,Nao,6.0,81.5,5.3,65.0,1,Em Risco
2,16,Feminino,Parda,Solteiro,"Ate 0,5 SM",Nao,Sim,Sim,Publica,Nao,Sim,6.4,83.9,5.4,72.9,1,Aprovado
2,16,Feminino,Parda,Solteiro,Acima de 1 SM,Nao,Sim,Sim,Publica,Nao,Nao,6.1,86.6,5.7,64.0,0,Em Risco
1,15,Masculino,Branca,Solteiro,"Ate 0,5 SM",Sim,Sim,Nao,Publica,Nao,Sim,7.8,87.6,6.8,54.3,0,Aprovado
